Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0285403,2015-06-10,2015-06-10,,Scrubs,https://www.imdb.com/title/tt0285403/,tvSeries,8.3,22,2001,"Comedy, Drama",231627,2001-10-02,,,
2,tt0386676,2015-06-10,2015-06-10,,The Office,https://www.imdb.com/title/tt0386676/,tvSeries,8.9,22,2005,Comedy,364462,2005-03-24,,8,2019-07-18
3,tt1632701,2015-06-10,2015-06-10,,Suits,https://www.imdb.com/title/tt1632701/,tvSeries,8.5,44,2011,"Comedy, Drama",348944,2011-06-23,,,
4,tt4122068,2015-07-08,2015-07-08,,Humans,https://www.imdb.com/title/tt4122068/,tvSeries,8.0,42,2015,"Drama, Sci-Fi",34276,2015-06-14,,,
5,tt0098936,2015-07-09,2015-07-09,,Twin Peaks,https://www.imdb.com/title/tt0098936/,tvSeries,8.8,47,1990,"Crime, Drama, Mystery, Thriller",166959,1989-09-28,,,
6,tt4795692,2015-07-13,2015-07-13,,Sister Cities,https://www.imdb.com/title/tt4795692/,tvMovie,6.8,86,2016,Drama,1282,2016-09-17,Sean Hanish,,
7,tt3809276,2015-07-13,2015-07-13,,Lost in Florence,https://www.imdb.com/title/tt3809276/,movie,5.1,97,2017,"Adventure, Drama, Romance",727,2017-01-27,Evan Oppenheimer,,
8,tt0374463,2015-07-13,2015-07-13,,The Pacific,https://www.imdb.com/title/tt0374463/,tvMiniSeries,8.3,530,2010,"Action, Adventure, Drama, History, War",95411,2010-03-14,,,
9,tt4827878,2015-07-13,2015-07-13,,The Rendezvous,https://www.imdb.com/title/tt4827878/,movie,5.1,92,2016,"Action, Adventure",695,2016-10-08,"Annemarie Jacir, Amin Matalqa",,
10,tt4145384,2015-07-14,2015-07-14,,Scream Queens,https://www.imdb.com/title/tt4145384/,tvSeries,7.1,45,2015,"Comedy, Horror, Mystery",33300,2015-07-12,,,
11,tt2548418,2015-07-14,2015-07-14,,Jonathan Strange & Mr Norrell,https://www.imdb.com/title/tt2548418/,tvMiniSeries,8.1,60,2015,"Fantasy, History, Sci-Fi, War",11612,2015-05-17,,,
12,tt2618986,2015-07-14,2015-07-14,,Wayward Pines,https://www.imdb.com/title/tt2618986/,tvSeries,7.4,60,2015,"Drama, Mystery, Sci-Fi, Thriller",50764,2015-05-14,,,
13,tt4374208,2015-07-14,2015-07-14,,Catastrophe,https://www.imdb.com/title/tt4374208/,tvSeries,8.2,24,2015,Comedy,14686,2015-01-19,,,
14,tt4445154,2015-07-14,2015-07-14,,Deutschland 83,https://www.imdb.com/title/tt4445154/,tvSeries,8.1,42,2015,"Drama, History, Romance, Thriller",10785,2015-02-09,,,
15,tt3314218,2015-07-14,2015-07-14,,UnREAL,https://www.imdb.com/title/tt3314218/,tvSeries,7.8,42,2015,Drama,12965,2015-06-01,,,
16,tt2628232,2015-07-14,2015-07-14,,Penny Dreadful,https://www.imdb.com/title/tt2628232/,tvSeries,8.2,60,2014,"Drama, Fantasy, Horror",108174,2014-04-28,,,
17,tt3216586,2015-07-14,2015-07-14,,The Brink,https://www.imdb.com/title/tt3216586/,tvSeries,7.8,30,2015,Comedy,12899,2015-06-21,,,
18,tt2891574,2015-07-14,2015-07-14,,Ballers,https://www.imdb.com/title/tt2891574/,tvSeries,7.6,30,2015,"Comedy, Drama, Sport",36534,2015-06-21,,,
19,tt3595806,2015-07-14,2015-07-14,,Proof,https://www.imdb.com/title/tt3595806/,tvSeries,6.9,42,2015,"Drama, Fantasy, Mystery, Sci-Fi",3332,2015-06-16,,,
20,tt3250026,2015-07-14,2015-07-14,,Zoo,https://www.imdb.com/title/tt3250026/,tvSeries,6.8,42,2015,"Drama, Mystery, Sci-Fi, Thriller",20866,2015-06-30,,,
21,tt3487410,2015-07-14,2015-07-14,,The Whispers,https://www.imdb.com/title/tt3487410/,tvSeries,7.2,60,2015,"Drama, Horror, Mystery, Sci-Fi, Thriller",10207,2015-06-01,,,
22,tt4159076,2015-07-14,2015-07-14,,Dark Matter,https://www.imdb.com/title/tt4159076/,tvSeries,7.5,42,2015,"Adventure, Drama, Mystery, Sci-Fi, Thriller",37753,2015-06-12,,,
23,tt3530726,2015-07-14,2015-07-14,,The Astronaut Wives Club,https://www.imdb.com/title/tt3530726/,tvSeries,7.2,42,2015,Drama,2910,2015-06-18,,,
24,tt1598754,2015-07-14,2015-07-14,,24: Live Another Day,https://www.imdb.com/title/tt1598754/,tvMiniSeries,8.4,46,2014,"Action, Crime, Drama, Mystery, Thriller",42416,2014-05-02,,,
25,tt0066249,2015-07-14,2015-07-14,,The Private Life of Sherlock Holmes,https://www.imdb.com/title/tt0066249/,movie,7.1,125,1970,"Adventure, Comedy, Crime, Mystery, Romance, Thriller",10192,1970-10-29,Billy Wilder,,
26,tt1236472,2015-07-31,2015-07-31,,Lemmy,https://www.imdb.com/title/tt1236472/,movie,7.8,116,2010,"Documentary, Biography, Music",7555,2010-03-15,"Greg Olliver, Wes Orshoski",,
27,tt3172532,2015-08-08,2015-08-08,,The Diary of a Teenage Girl,https://www.imdb.com/title/tt3172532/,movie,6.9,102,2015,"Comedy, Drama, Romance",28680,2015-01-24,Marielle Heller,,
28,tt2372220,2015-08-09,2015-08-09,,The White Queen,https://www.imdb.com/title/tt2372220/,tvMiniSeries,7.8,60,2013,"Drama, History, Romance, War",22495,2013-06-16,,,
29,tt1358522,2015-08-14,2015-08-14,,White Collar,https://www.imdb.com/title/tt1358522/,tvSeries,8.2,40,2009,"Comedy, Crime, Drama, Mystery",114909,2009-10-23,,,
30,tt1684226,2015-08-14,2015-08-14,,The Normal Heart,https://www.imdb.com/title/tt1684226/,tvMovie,7.9,132,2014,"Drama, History, Romance",32744,2014-05-25,Ryan Murphy,,
31,tt1398426,2015-08-23,2015-08-23,,Straight Outta Compton,https://www.imdb.com/title/tt1398426/,movie,7.9,147,2015,"Biography, Drama, History, Music",174577,2015-08-11,F. Gary Gray,,
32,tt2381249,2015-08-23,2015-08-23,,Mission: Impossible - Rogue Nation,https://www.imdb.com/title/tt2381249/,movie,7.4,131,2015,"Action, Adventure, Thriller",331463,2015-07-23,Christopher McQuarrie,,
33,tt2193041,2015-08-28,2015-08-28,,Beauty and the Beast,https://www.imdb.com/title/tt2193041/,tvSeries,7.1,60,2012,"Drama, Horror, Romance, Sci-Fi, Thriller",34259,2012-10-11,,,
34,tt0377309,2015-09-21,2015-09-21,,Three,https://www.imdb.com/title/tt0377309/,movie,4.9,95,2005,"Drama, Romance, Thriller",8903,2005-11-16,Stewart Raffill,,
35,tt3549984,2015-09-26,2015-09-26,,Nature: Ireland's Wild River,https://www.imdb.com/title/tt3549984/,tvEpisode,7.5,,2014,"Documentary, Family",55,2014-02-26,John Murray,,
36,tt0433416,2015-10-19,2015-10-19,,The Namesake,https://www.imdb.com/title/tt0433416/,movie,7.5,122,2006,Drama,18931,2006-09-02,Mira Nair,,
37,tt3845232,2015-10-27,2015-10-27,,Sherlock: The Abominable Bride,https://www.imdb.com/title/tt3845232/,tvEpisode,8.2,89,2016,"Crime, Drama, Mystery, Thriller",31626,2016-01-01,Douglas Mackinnon,,
38,tt3973820,2015-10-30,2015-10-30,,Red Oaks,https://www.imdb.com/title/tt3973820/,tvSeries,7.9,30,2014,"Comedy, Drama, Sport",8898,2014-08-28,,,
39,tt0783233,2015-11-12,2015-11-12,,Atonement,https://www.imdb.com/title/tt0783233/,movie,7.8,123,2007,"Drama, Mystery, Romance, War",241080,2007-08-28,Joe Wright,,
40,tt0959337,2015-12-27,2015-12-27,,Revolutionary Road,https://www.imdb.com/title/tt0959337/,movie,7.3,119,2008,"Drama, Romance",189531,2008-12-15,Sam Mendes,,
41,tt0976051,2015-12-27,2015-12-27,,The Reader,https://www.imdb.com/title/tt0976051/,movie,7.6,124,2008,"Drama, Romance",225969,2008-12-10,Stephen Daldry,,
42,tt0085478,2015-12-27,2015-12-27,,Educating Rita,https://www.imdb.com/title/tt0085478/,movie,7.2,110,1983,"Comedy, Drama",12066,1983-06-16,Lewis Gilbert,,
43,tt0390538,2016-01-13,2016-01-13,,Tarnation,https://www.imdb.com/title/tt0390538/,movie,7.1,88,2003,"Documentary, Biography",6247,2003-10-19,Jonathan Caouette,,
44,tt0091369,2016-01-23,2016-01-23,,Labyrinth,https://www.imdb.com/title/tt0091369/,movie,7.4,101,1986,"Adventure, Family, Fantasy, Musical",120102,1986-06-27,Jim Henson,,
45,tt4189492,2016-01-23,2016-01-23,,Man Seeking Woman,https://www.imdb.com/title/tt4189492/,tvSeries,7.7,21,2015,"Comedy, Fantasy, Romance",9192,2015-01-14,,,
46,tt0293508,2016-01-23,2016-01-23,,The Phantom of the Opera,https://www.imdb.com/title/tt0293508/,movie,7.3,143,2004,"Drama, Musical, Romance, Thriller",113921,2004-12-09,Joel Schumacher,,
47,tt2402927,2016-01-24,2016-01-24,,Carol,https://www.imdb.com/title/tt2402927/,movie,7.2,118,2015,"Drama, Romance",110175,2015-05-17,Todd Haynes,,
48,tt2699128,2016-01-24,2016-01-24,,The Leftovers,https://www.imdb.com/title/tt2699128/,tvSeries,8.3,60,2014,"Drama, Fantasy, Mystery",73770,2014-06-29,,,
49,tt2937900,2016-01-24,2016-01-24,,The Knick,https://www.imdb.com/title/tt2937900/,tvSeries,8.5,58,2014,"Drama, History",42115,2014-08-08,,,
50,tt1578873,2016-01-25,2016-01-25,,Pretty Little Liars,https://www.imdb.com/title/tt1578873/,tvSeries,7.4,44,2010,"Drama, Mystery, Romance, Thriller",148106,2010-06-08,,,
51,tt0787524,2016-02-02,2016-02-02,,The Man Who Knew Infinity,https://www.imdb.com/title/tt0787524/,movie,7.2,108,2015,"Biography, Drama",48703,2015-09-17,Matt Brown,,
52,tt0274558,2016-02-13,2016-02-13,,The Hours,https://www.imdb.com/title/tt0274558/,movie,7.5,110,2002,"Drama, Romance",121601,2002-12-15,Stephen Daldry,,
53,tt0488374,2016-02-13,2016-02-13,,The Bong Connection,https://www.imdb.com/title/tt0488374/,movie,6.7,131,2006,Drama,630,2006-06-26,Anjan Dutt,,
54,tt0361411,2016-02-13,2016-02-13,,Bride & Prejudice,https://www.imdb.com/title/tt0361411/,movie,6.1,122,2004,"Comedy, Drama, Musical, Romance",19585,2004-10-06,Gurinder Chadha,,
55,tt0038559,2016-02-17,2016-02-17,,Gilda,https://www.imdb.com/title/tt0038559/,movie,7.7,110,1946,"Drama, Film-Noir, Romance, Thriller",26799,1946-03-14,Charles Vidor,,
56,tt3186130,2016-02-19,2016-02-19,,Vinyl,https://www.imdb.com/title/tt3186130/,tvSeries,7.8,60,2016,"Drama, Music",20955,2016-02-14,,,
57,tt1587678,2016-03-03,2016-03-03,,Happy Endings,https://www.imdb.com/title/tt1587678/,tvSeries,7.7,22,2011,"Comedy, Romance",33514,2011-04-13,,,
58,tt0335345,2016-03-20,2016-03-20,,The Passion of the Christ,https://www.imdb.com/title/tt0335345/,movie,7.2,127,2004,Drama,211309,2004-02-25,Mel Gibson,,
59,tt0057345,2016-04-04,2016-04-04,,Le mépris,https://www.imdb.com/title/tt0057345/,movie,7.6,103,1963,"Drama, Romance",27362,1963-10-29,Jean-Luc Godard,,
60,tt2879552,2016-04-14,2016-04-14,,11.22.63,https://www.imdb.com/title/tt2879552/,tvMiniSeries,8.2,60,2016,"Drama, Mystery, Sci-Fi, Thriller",68047,2016-02-15,,,
