imdbID,Rated,Language,Country,Major_Awards,Metascore_binned,Box_office_binned
tt1010048,R,Multilingual/Foreign,UK,1,high,500Mil
tt1022603,T,Multilingual/Foreign,USA,1,high,100Mil
tt1024648,R,Multilingual/Foreign,USA,1,high,500Mil
tt1028532,G,Multilingual/Foreign,UK,0,N/A,N/A
tt0102926,R,Multilingual/Foreign,USA,1,high,N/A
tt10324144,Not Rated,Hindi,India,0,N/A,N/A
tt1033575,R,English,USA,1,high,100Mil
tt0103939,T,English,UK,1,mid,N/A
tt1045658,R,English,USA,1,high,500Mil
tt1049413,T,English,USA,1,high,500Mil
tt1059955,G,English,USA,1,N/A,N/A
tt1074638,T,Multilingual/Foreign,UK,1,high,500Mil
tt0108052,R,Multilingual/Foreign,USA,1,high,N/A
tt1093370,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt0109830,T,English,USA,1,high,500Mil
tt0110357,G,Multilingual/Foreign,USA,1,high,100Mil
tt1109624,T,English,UK,1,high,100Mil
tt0111161,R,English,USA,1,high,N/A
tt0112471,R,Multilingual/Foreign,USA,0,high,N/A
tt0112573,R,Multilingual/Foreign,USA,1,high,N/A
tt0112697,T,Multilingual/Foreign,USA,0,high,N/A
tt0114369,R,English,USA,1,mid,N/A
tt0114709,G,English,USA,1,high,N/A
tt1156398,R,English,USA,0,high,100Mil
tt1179933,T,English,USA,0,high,100Mil
tt1187043,T,Multilingual/Foreign,India,0,high,10Mil
tt0118799,T,Multilingual/Foreign,Italy,1,mid,N/A
tt0118884,T,Multilingual/Foreign,USA,1,mid,N/A
tt0119217,R,English,USA,1,high,N/A
tt1193138,R,English,USA,1,high,100Mil
tt0120338,T,Multilingual/Foreign,USA,1,high,N/A
tt0120382,T,English,USA,1,high,N/A
tt0120815,R,Multilingual/Foreign,USA,1,high,N/A
tt1211837,T,English,USA,1,high,N/A
tt1216475,G,Multilingual/Foreign,USA,1,mid,500Mil
tt1230165,Not Rated,Multilingual/Foreign,India,0,N/A,N/A
tt0128445,R,Multilingual/Foreign,USA,1,high,N/A
tt1285016,T,Multilingual/Foreign,USA,1,high,100Mil
